iter	Logloss
0	0.6610107422
1	0.6305307346
2	0.6039513482
3	0.5774310981
4	0.5526911757
5	0.5305021498
6	0.5081070285
7	0.4878828261
8	0.4689585368
9	0.4511295234
10	0.4345934041
11	0.4191656833
12	0.4055207316
13	0.3920087348
14	0.3791285875
15	0.3672279188
16	0.3560543484
17	0.346391059
18	0.3364721002
19	0.3270130751
20	0.3183546278
21	0.3103963894
22	0.3028015137
23	0.295611301
24	0.2887926568
25	0.2825655111
26	0.2765319146
27	0.2713998074
28	0.2663657125
29	0.2614430576
30	0.2569425795
31	0.2527162679
32	0.2486296421
33	0.2448646376
34	0.241304423
35	0.2381611125
36	0.235089959
37	0.2320337931
38	0.2294702827
39	0.2271488783
40	0.224794125
41	0.2225024414
42	0.2203241136
43	0.2182714166
44	0.2164299011
45	0.2148741659
46	0.2131385295
47	0.211598409
48	0.2101475525
49	0.2086598206
50	0.207373759
51	0.206020796
52	0.2048513794
53	0.2035899183
54	0.2024078369
55	0.2012723287
56	0.2004578654
57	0.1994629924
58	0.1987357246
59	0.1977829319
60	0.196904263
61	0.1961348131
62	0.1953894382
63	0.1946881273
64	0.193995853
65	0.1933712429
66	0.1927162849
67	0.1922331407
68	0.1921269057
69	0.1914885118
70	0.191159651
71	0.1907844374
72	0.1903177219
73	0.1899184672
74	0.1897235107
75	0.1892524719
76	0.1887811618
77	0.1883513726
78	0.1882034641
79	0.1880536228
80	0.1876569451
81	0.1873862881
82	0.1872568766
83	0.1869130792
84	0.1864956665
85	0.1862982517
86	0.1860349019
87	0.1858396064
88	0.1855109999
89	0.185204756
90	0.1849434747
91	0.1846946886
92	0.1844257609
93	0.1842810228
94	0.1840994263
95	0.1838783942
96	0.1838189528
97	0.1835845269
98	0.1834185452
99	0.1832404412
100	0.1831198798
101	0.1828265889
102	0.1826965671
103	0.1826789347
104	0.182552965
105	0.1823323229
106	0.1821542697
107	0.1821339925
108	0.1820265706
109	0.1819893053
110	0.1817502848
111	0.1815577528
112	0.1813784281
113	0.1811619568
114	0.1810364109
115	0.1808593411
116	0.1807018026
117	0.1806862725
118	0.1805011664
119	0.1803863186
120	0.1801643202
121	0.1800416395
122	0.1798131816
123	0.1796815999
124	0.1795434062
125	0.1794273207
126	0.1792633396
127	0.1790177578
128	0.1788595412
129	0.1787310452
130	0.178553382
131	0.1783826701
132	0.178315684
133	0.1781913249
134	0.1780651177
135	0.177996148
136	0.1778600735
137	0.1777686564
138	0.1776164076
139	0.1774787733
140	0.1773623318
141	0.1772759332
142	0.1771365526
143	0.176997545
144	0.1768755086
145	0.1767375861
146	0.1766248067
147	0.1765100098
148	0.1763896518
149	0.1761602444
150	0.1759858873
151	0.1758523729
152	0.1757202827
153	0.1756014167
154	0.1755107625
155	0.1753545973
156	0.1752658759
157	0.1751382955
158	0.1750310262
159	0.1749042087
160	0.1747096761
161	0.1746049669
162	0.1744600423
163	0.1743239339
164	0.1741786363
165	0.174029541
166	0.1739326647
167	0.1738252936
168	0.173723348
169	0.1736345079
170	0.1734721205
171	0.1733358426
172	0.1732271152
173	0.1731316291
174	0.1729951138
175	0.1728763326
176	0.1727153185
177	0.1726129489
178	0.1724858941
179	0.1723317125
180	0.1722337002
181	0.1721070692
182	0.1720027161
183	0.1719085354
184	0.1718307156
185	0.1717518446
186	0.1716668701
187	0.1715690952
188	0.1715630595
189	0.171446601
190	0.1713024902
191	0.1712052239
192	0.1710713026
193	0.1709560818
194	0.1707970852
195	0.1707000393
196	0.1705784437
197	0.1704743788
198	0.1703396946
